191,15
179,19
167,23
155,27
143,31
197,33
131,35
185,37
119,39
173,41
107,43
161,45
95,47
149,49
83,51
137,53
71,55
125,57
7,58
59,59
113,61
47,63
101,65
89,69
77,73
26,76
65,77
53,81
14,84
194,84
41,85
182,88
34,92
170,92
158,96
22,97
146,100
134,104
188,106
122,108
18,109
176,110
2,112
110,112
164,114
29,115
98,116
152,118
86,120
140,122
74,124
128,126
62,128
116,130
50,132
9,134
104,134
38,136
92,138
80,142
32,144
68,146
56,150
44,154
192,158
180,162
168,166
24,168
156,170
144,174
198,176
132,178
186,180
120,182
174,184
108,186
162,188
96,190
6,191
150,192
15,193
84,194
138,196
72,198
126,200
60,202
114,204
48,206
102,208
27,209
90,212
78,216
36,218
66,220
54,224
42,228
0,243
196,250
184,254
172,258
31,261
160,262
20,265
148,266
136,270
190,272
124,274
178,276
10,277
112,278
166,280
100,282
154,284
88,286
142,288
76,290
130,292
64,294
118,296
52,298
106,300
40,302
5,303
94,304
82,308
70,312
58,316
46,320
25,341
13,351
35,375
19,382
30,398
3,409
195,427
183,431
171,435
159,439
147,443
8,447
135,447
189,449
123,451
23,453
177,453
111,455
17,456
165,457
99,459
153,461
87,463
141,465
75,467
12,469
129,469
63,471
117,473
51,475
105,477
39,479
93,481
81,485
69,489
57,493
45,497
193,501
181,505
33,507
169,509
157,513
21,514
145,517
1,518
199,519
133,521
187,523
121,525
175,527
109,529
163,531
28,532
97,533
151,535
85,537
139,539
73,541
127,543
61,545
115,547
49,549
103,551
91,555
79,559
37,561
67,563
55,567
43,571
4,576
11,602
16,620
